id,x,y
525,391666.1228,6056495.863
526,395666.1228,6056495.863
527,399666.1228,6056495.863
528,403666.1228,6056495.863
529,407666.1228,6056495.863
530,411666.1228,6056495.863
531,415666.1228,6056495.863
532,419666.1228,6056495.863
533,423666.1228,6056495.863
534,427666.1228,6056495.863
535,431666.1228,6056495.863
536,435666.1228,6056495.863
537,439666.1228,6056495.863
538,443666.1228,6056495.863
539,447666.1228,6056495.863
540,451666.1228,6056495.863
541,455666.1228,6056495.863
542,459666.1228,6056495.863
593,383666.1228,6052495.863
594,387666.1228,6052495.863
595,391666.1228,6052495.863
596,395666.1228,6052495.863
597,399666.1228,6052495.863
598,403666.1228,6052495.863
599,407666.1228,6052495.863
600,411666.1228,6052495.863
601,415666.1228,6052495.863
602,419666.1228,6052495.863
603,423666.1228,6052495.863
604,427666.1228,6052495.863
605,431666.1228,6052495.863
606,435666.1228,6052495.863
607,439666.1228,6052495.863
608,443666.1228,6052495.863
609,447666.1228,6052495.863
610,451666.1228,6052495.863
611,455666.1228,6052495.863
612,459666.1228,6052495.863
663,383666.1228,6048495.863
664,387666.1228,6048495.863
665,391666.1228,6048495.863
666,395666.1228,6048495.863
667,399666.1228,6048495.863
668,403666.1228,6048495.863
669,407666.1228,6048495.863
670,411666.1228,6048495.863
671,415666.1228,6048495.863
672,419666.1228,6048495.863
673,423666.1228,6048495.863
674,427666.1228,6048495.863
675,431666.1228,6048495.863
676,435666.1228,6048495.863
677,439666.1228,6048495.863
678,443666.1228,6048495.863
679,447666.1228,6048495.863
680,451666.1228,6048495.863
681,455666.1228,6048495.863
682,459666.1228,6048495.863
732,379666.1228,6044495.863
733,383666.1228,6044495.863
734,387666.1228,6044495.863
735,391666.1228,6044495.863
736,395666.1228,6044495.863
737,399666.1228,6044495.863
738,403666.1228,6044495.863
739,407666.1228,6044495.863
740,411666.1228,6044495.863
741,415666.1228,6044495.863
742,419666.1228,6044495.863
743,423666.1228,6044495.863
744,427666.1228,6044495.863
745,431666.1228,6044495.863
746,435666.1228,6044495.863
747,439666.1228,6044495.863
748,443666.1228,6044495.863
749,447666.1228,6044495.863
750,451666.1228,6044495.863
751,455666.1228,6044495.863
752,459666.1228,6044495.863
802,379666.1228,6040495.863
803,383666.1228,6040495.863
804,387666.1228,6040495.863
805,391666.1228,6040495.863
806,395666.1228,6040495.863
807,399666.1228,6040495.863
808,403666.1228,6040495.863
809,407666.1228,6040495.863
810,411666.1228,6040495.863
811,415666.1228,6040495.863
812,419666.1228,6040495.863
813,423666.1228,6040495.863
814,427666.1228,6040495.863
815,431666.1228,6040495.863
816,435666.1228,6040495.863
817,439666.1228,6040495.863
818,443666.1228,6040495.863
819,447666.1228,6040495.863
820,451666.1228,6040495.863
821,455666.1228,6040495.863
822,459666.1228,6040495.863
871,375666.1228,6036495.863
872,379666.1228,6036495.863
873,383666.1228,6036495.863
874,387666.1228,6036495.863
875,391666.1228,6036495.863
876,395666.1228,6036495.863
877,399666.1228,6036495.863
878,403666.1228,6036495.863
879,407666.1228,6036495.863
880,411666.1228,6036495.863
881,415666.1228,6036495.863
882,419666.1228,6036495.863
883,423666.1228,6036495.863
884,427666.1228,6036495.863
885,431666.1228,6036495.863
886,435666.1228,6036495.863
887,439666.1228,6036495.863
888,443666.1228,6036495.863
889,447666.1228,6036495.863
890,451666.1228,6036495.863
891,455666.1228,6036495.863
892,459666.1228,6036495.863
939,367666.1228,6032495.863
940,371666.1228,6032495.863
941,375666.1228,6032495.863
942,379666.1228,6032495.863
943,383666.1228,6032495.863
944,387666.1228,6032495.863
945,391666.1228,6032495.863
946,395666.1228,6032495.863
947,399666.1228,6032495.863
948,403666.1228,6032495.863
949,407666.1228,6032495.863
950,411666.1228,6032495.863
951,415666.1228,6032495.863
952,419666.1228,6032495.863
953,423666.1228,6032495.863
954,427666.1228,6032495.863
955,431666.1228,6032495.863
956,435666.1228,6032495.863
957,439666.1228,6032495.863
958,443666.1228,6032495.863
959,447666.1228,6032495.863
960,451666.1228,6032495.863
961,455666.1228,6032495.863
962,459666.1228,6032495.863
1008,363666.1228,6028495.863
1009,367666.1228,6028495.863
1010,371666.1228,6028495.863
1011,375666.1228,6028495.863
1012,379666.1228,6028495.863
1013,383666.1228,6028495.863
1014,387666.1228,6028495.863
1015,391666.1228,6028495.863
1016,395666.1228,6028495.863
1017,399666.1228,6028495.863
1018,403666.1228,6028495.863
1019,407666.1228,6028495.863
1020,411666.1228,6028495.863
1021,415666.1228,6028495.863
1022,419666.1228,6028495.863
1023,423666.1228,6028495.863
1024,427666.1228,6028495.863
1025,431666.1228,6028495.863
1026,435666.1228,6028495.863
1027,439666.1228,6028495.863
1028,443666.1228,6028495.863
1029,447666.1228,6028495.863
1030,451666.1228,6028495.863
1031,455666.1228,6028495.863
1032,459666.1228,6028495.863
1076,355666.1228,6024495.863
1077,359666.1228,6024495.863
1078,363666.1228,6024495.863
1079,367666.1228,6024495.863
1080,371666.1228,6024495.863
1081,375666.1228,6024495.863
1082,379666.1228,6024495.863
1083,383666.1228,6024495.863
1084,387666.1228,6024495.863
1085,391666.1228,6024495.863
1086,395666.1228,6024495.863
1087,399666.1228,6024495.863
1088,403666.1228,6024495.863
1089,407666.1228,6024495.863
1090,411666.1228,6024495.863
1091,415666.1228,6024495.863
1092,419666.1228,6024495.863
1093,423666.1228,6024495.863
1094,427666.1228,6024495.863
1095,431666.1228,6024495.863
1096,435666.1228,6024495.863
1097,439666.1228,6024495.863
1098,443666.1228,6024495.863
1099,447666.1228,6024495.863
1100,451666.1228,6024495.863
1101,455666.1228,6024495.863
1144,347666.1228,6020495.863
1145,351666.1228,6020495.863
1146,355666.1228,6020495.863
1147,359666.1228,6020495.863
1148,363666.1228,6020495.863
1149,367666.1228,6020495.863
1150,371666.1228,6020495.863
1151,375666.1228,6020495.863
1152,379666.1228,6020495.863
1153,383666.1228,6020495.863
1154,387666.1228,6020495.863
1155,391666.1228,6020495.863
1156,395666.1228,6020495.863
1157,399666.1228,6020495.863
1158,403666.1228,6020495.863
1159,407666.1228,6020495.863
1160,411666.1228,6020495.863
1161,415666.1228,6020495.863
1162,419666.1228,6020495.863
1163,423666.1228,6020495.863
1164,427666.1228,6020495.863
1165,431666.1228,6020495.863
1166,435666.1228,6020495.863
1167,439666.1228,6020495.863
1168,443666.1228,6020495.863
1169,447666.1228,6020495.863
1170,451666.1228,6020495.863
1171,455666.1228,6020495.863
1213,343666.1228,6016495.863
1214,347666.1228,6016495.863
1215,351666.1228,6016495.863
1216,355666.1228,6016495.863
1217,359666.1228,6016495.863
1218,363666.1228,6016495.863
1219,367666.1228,6016495.863
1220,371666.1228,6016495.863
1221,375666.1228,6016495.863
1222,379666.1228,6016495.863
1223,383666.1228,6016495.863
1224,387666.1228,6016495.863
1225,391666.1228,6016495.863
1226,395666.1228,6016495.863
1227,399666.1228,6016495.863
1228,403666.1228,6016495.863
