id	x	y
264	638012.6631	5669244.863
265	642012.6631	5669244.863
266	646012.6631	5669244.863
267	650012.6631	5669244.863
268	654012.6631	5669244.863
269	658012.6631	5669244.863
270	662012.6631	5669244.863
271	666012.6631	5669244.863
272	670012.6631	5669244.863
273	674012.6631	5669244.863
274	678012.6631	5669244.863
275	682012.6631	5669244.863
276	686012.6631	5669244.863
292	586012.6631	5665244.863
293	590012.6631	5665244.863
294	594012.6631	5665244.863
295	598012.6631	5665244.863
296	602012.6631	5665244.863
297	606012.6631	5665244.863
298	610012.6631	5665244.863
299	614012.6631	5665244.863
300	618012.6631	5665244.863
301	622012.6631	5665244.863
302	626012.6631	5665244.863
303	630012.6631	5665244.863
304	634012.6631	5665244.863
305	638012.6631	5665244.863
306	642012.6631	5665244.863
307	646012.6631	5665244.863
308	650012.6631	5665244.863
309	654012.6631	5665244.863
310	658012.6631	5665244.863
311	662012.6631	5665244.863
312	666012.6631	5665244.863
313	670012.6631	5665244.863
314	674012.6631	5665244.863
315	678012.6631	5665244.863
316	682012.6631	5665244.863
317	686012.6631	5665244.863
318	690012.6631	5665244.863
333	586012.6631	5661244.863
334	590012.6631	5661244.863
335	594012.6631	5661244.863
336	598012.6631	5661244.863
337	602012.6631	5661244.863
338	606012.6631	5661244.863
339	610012.6631	5661244.863
340	614012.6631	5661244.863
341	618012.6631	5661244.863
342	622012.6631	5661244.863
343	626012.6631	5661244.863
344	630012.6631	5661244.863
345	634012.6631	5661244.863
346	638012.6631	5661244.863
347	642012.6631	5661244.863
348	646012.6631	5661244.863
349	650012.6631	5661244.863
350	654012.6631	5661244.863
351	658012.6631	5661244.863
352	662012.6631	5661244.863
353	666012.6631	5661244.863
354	670012.6631	5661244.863
355	674012.6631	5661244.863
356	678012.6631	5661244.863
357	682012.6631	5661244.863
358	686012.6631	5661244.863
359	690012.6631	5661244.863
360	694012.6631	5661244.863
373	582012.6631	5657244.863
374	586012.6631	5657244.863
375	590012.6631	5657244.863
376	594012.6631	5657244.863
377	598012.6631	5657244.863
378	602012.6631	5657244.863
379	606012.6631	5657244.863
380	610012.6631	5657244.863
381	614012.6631	5657244.863
382	618012.6631	5657244.863
383	622012.6631	5657244.863
384	626012.6631	5657244.863
385	630012.6631	5657244.863
386	634012.6631	5657244.863
387	638012.6631	5657244.863
388	642012.6631	5657244.863
389	646012.6631	5657244.863
390	650012.6631	5657244.863
391	654012.6631	5657244.863
392	658012.6631	5657244.863
393	662012.6631	5657244.863
394	666012.6631	5657244.863
395	670012.6631	5657244.863
396	674012.6631	5657244.863
397	678012.6631	5657244.863
398	682012.6631	5657244.863
399	686012.6631	5657244.863
400	690012.6631	5657244.863
401	694012.6631	5657244.863
402	698012.6631	5657244.863
414	582012.6631	5653244.863
415	586012.6631	5653244.863
416	590012.6631	5653244.863
417	594012.6631	5653244.863
418	598012.6631	5653244.863
419	602012.6631	5653244.863
